property_type,rooms,parking,bathroom,size,region,monthly_rent(RM),Gymnasium,Lift,Minimart,Sauna,Security,Swimming Pool
Service Residence,3.0,2,2,1033.0,Kuala Lumpur,2800.0,1,0,0,0,0,0
Apartment,3.0,1,2,950.0,Kuala Lumpur,1000.0,0,0,0,0,0,0
Apartment,3.0,1,2,650.0,Kuala Lumpur,800.0,0,0,1,0,0,0
Condominium,2.0,1,2,1400.0,Kuala Lumpur,3800.0,0,0,0,0,0,0
Service Residence,2.0,1,2,900.0,Kuala Lumpur,2000.0,0,0,0,0,0,0
Apartment,3.0,1,2,1035.0,Kuala Lumpur,1200.0,0,0,0,0,1,0
Apartment,5.0,1,2,850.0,Kuala Lumpur,1000.0,0,0,0,0,1,0
Condominium,3.0,1,2,1050.0,Kuala Lumpur,1500.0,0,0,0,0,0,0
Condominium,4.0,2,3,1000.0,Kuala Lumpur,2300.0,0,0,0,0,0,0
Condominium,3.0,1,2,920.0,Kuala Lumpur,1400.0,0,0,0,0,1,0
Apartment,3.0,1,2,1010.0,Kuala Lumpur,1750.0,0,0,0,0,0,0
Apartment,3.0,1,2,819.0,Kuala Lumpur,1700.0,0,0,0,0,0,0
Service Residence,3.0,1,2,1150.0,Kuala Lumpur,1350.0,0,0,0,0,0,0
Apartment,3.0,2,2,722.0,Kuala Lumpur,750.0,0,0,0,0,0,0
Apartment,3.0,2,2,950.0,Kuala Lumpur,1600.0,0,0,0,0,0,0
Condominium,2.0,1,2,880.0,Kuala Lumpur,1800.0,0,0,0,0,0,0
Service Residence,3.0,1,2,850.0,Kuala Lumpur,1800.0,0,1,0,0,0,0
Apartment,2.0,1,2,555.0,Kuala Lumpur,1300.0,0,0,0,0,0,0
Condominium,7.0,3,7,3488.0,Kuala Lumpur,5800.0,0,0,1,0,0,0
Service Residence,1.0,1,1,680.0,Kuala Lumpur,1500.0,0,0,0,0,0,0
Apartment,3.0,1,2,850.0,Kuala Lumpur,1250.0,0,0,0,0,1,0
Service Residence,3.0,1,2,850.0,Kuala Lumpur,2800.0,0,0,0,0,0,0
Service Residence,3.0,1,2,850.0,Kuala Lumpur,2500.0,0,0,0,0,0,0
Service Residence,3.0,1,2,1050.0,Kuala Lumpur,1850.0,0,0,0,0,0,1
Service Residence,2.0,1,1,750.0,Kuala Lumpur,3500.0,0,0,0,0,0,1
Apartment,3.0,2,2,928.0,Kuala Lumpur,1499.0,0,0,0,0,0,0
Apartment,3.0,1,2,1000.0,Kuala Lumpur,1300.0,0,0,1,0,0,0
Apartment,3.0,1,2,1100.0,Kuala Lumpur,1500.0,0,0,0,0,0,0
Apartment,3.0,1,2,850.0,Kuala Lumpur,1450.0,0,0,0,0,0,0
Condominium,3.0,1,2,1142.0,Kuala Lumpur,1600.0,0,0,0,0,0,0
Service Residence,1.0,1,1,525.0,Kuala Lumpur,2000.0,0,0,0,0,0,1
Condominium,3.0,2,2,850.0,Kuala Lumpur,2600.0,0,0,0,0,0,0
Condominium,3.0,2,2,1200.0,Kuala Lumpur,1700.0,0,0,0,0,0,0
Condominium,3.0,1,2,700.0,Kuala Lumpur,1500.0,0,0,0,0,0,0
Service Residence,3.0,1,2,850.0,Kuala Lumpur,1500.0,0,0,0,0,0,0
Service Residence,3.0,2,4,1518.0,Kuala Lumpur,2500.0,0,0,0,0,0,0
Service Residence,3.0,1,2,850.0,Kuala Lumpur,1500.0,0,0,0,0,0,0
Condominium,3.0,1,2,700.0,Kuala Lumpur,1500.0,0,0,0,0,0,0
Condominium,3.0,1,4,1717.0,Kuala Lumpur,4800.0,0,0,0,0,0,0
Condominium,4.0,2,3,1362.0,Kuala Lumpur,1799.0,0,0,0,0,0,0
Apartment,3.0,1,2,850.0,Kuala Lumpur,1550.0,0,0,0,0,0,0
Service Residence,3.0,1,2,819.0,Kuala Lumpur,1000.0,1,0,0,0,0,0
Condominium,3.0,2,2,1548.0,Kuala Lumpur,4600.0,0,0,0,0,1,0
Apartment,3.0,1,2,1100.0,Kuala Lumpur,1250.0,0,0,0,0,0,0
Apartment,3.0,1,2,850.0,Kuala Lumpur,1500.0,0,0,0,0,1,0
Condominium,3.0,1,2,860.0,Kuala Lumpur,1700.0,0,0,0,0,0,0
Condominium,3.0,3,2,850.0,Kuala Lumpur,2300.0,0,0,0,0,0,0
Apartment,3.0,1,2,1043.0,Kuala Lumpur,1250.0,0,0,0,0,0,0
Apartment,3.0,1,2,700.0,Kuala Lumpur,800.0,0,0,1,0,0,0
Apartment,2.0,1,1,750.0,Kuala Lumpur,1250.0,0,0,0,0,0,0
Apartment,3.0,1,2,850.0,Kuala Lumpur,1450.0,0,0,0,0,0,0
Condominium,3.0,1,2,1125.0,Kuala Lumpur,1800.0,0,0,0,0,0,0
Apartment,3.0,1,2,850.0,Kuala Lumpur,1650.0,0,0,0,0,0,0
Apartment,3.0,1,2,850.0,Kuala Lumpur,1750.0,0,0,0,0,0,0
Apartment,3.0,1,1,750.0,Kuala Lumpur,650.0,0,0,0,0,0,0
Flat,2.0,1,1,570.0,Kuala Lumpur,700.0,0,0,0,0,0,0
Condominium,3.0,2,2,1180.0,Kuala Lumpur,1600.0,0,0,0,0,1,0
Apartment,3.0,1,2,850.0,Kuala Lumpur,450.0,0,0,0,0,0,0
Flat,3.0,1,2,800.0,Kuala Lumpur,880.0,0,0,0,0,0,0
