,facility1,facility2,facility3,facility4,facility5,facility6,facility7,facility8,facility9,facility10,facility11,facility12,facility13,facility14,facility15,facility16,facility17,facility18,facility19,facility20,facility21
155,155,Sauna, Multipurpose hall, Playground, Swimming Pool, Gymnasium, Security,na,na,na,na,na,na,na,na,Air-Cond, Cooking Allowed, Near KTM/LRT,na,na,na
156,156,Security, Parking, Lift, Swimming Pool, Playground, Minimart, Gymnasium,na,na,na,na,na,na,na,Air-Cond, Cooking Allowed, Washing Machine, Near KTM/LRT,na,na
157,157,Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Minimart, Multipurpose hall, Squash Court, Tennis Court, Jogging Track,na,na,Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine,na,na
158,158,Sauna, Playground, Gymnasium, Swimming Pool, Parking, Squash Court, Security, Barbeque area,na,na,na,na,na,na,Air-Cond, Cooking Allowed, Washing Machine, Internet,na,na
159,159,Gymnasium, Jogging Track, Lift, Playground, Parking, Security, Swimming Pool, Barbeque area,na,na,na,na,na,na,unknown,na,na,na,na,na
160,160,Swimming Pool, Jogging Track, Barbeque area, Security, Playground, Lift, Parking, Gymnasium, Sauna, Minimart, Multipurpose hall,na,na,na,Air-Cond, Near KTM/LRT, Cooking Allowed,na,na,na
161,161,Minimart, Barbeque area, Parking, Swimming Pool, Gymnasium, Lift, Sauna, Playground, Security, Jogging Track,na,na,na,na,unknown,na,na,na,na,na
162,162,Parking, Security, Lift, Swimming Pool, Playground, Multipurpose hall, Minimart, Barbeque area, Sauna, Gymnasium, Club house, Jogging Track, Tennis Court, Squash Court,Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine,na,na
163,163,Club house, Playground, Parking, Security, Swimming Pool,na,na,na,na,na,na,na,na,na,unknown,na,na,na,na,na
164,164,Parking, Playground, Gymnasium, Security, Swimming Pool, Multipurpose hall, Club house,na,na,na,na,na,na,na,Air-Cond, Cooking Allowed, Near KTM/LRT,na,na,na
165,165,Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Minimart,na,na,na,na,na,na,na,Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine,na,na
166,166,Parking, Sauna, Security, Gymnasium, Minimart, Swimming Pool, Barbeque area, Lift, Playground,na,na,na,na,na,Cooking Allowed, Air-Cond, Near KTM/LRT, Washing Machine,na,na
167,167,Security, Playground, Multipurpose hall, Parking, Lift,na,na,na,na,na,na,na,na,na,Air-Cond, Cooking Allowed,na,na,na,na
168,168,Security, Playground, Swimming Pool, Parking, Tennis Court, Jogging Track, Lift, Barbeque area, Multipurpose hall, Gymnasium, Sauna, Minimart,na,na,Air-Cond, Cooking Allowed, Near KTM/LRT,na,na,na
169,169,Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Minimart,na,na,na,na,na,na,na,Air-Cond, Cooking Allowed, Washing Machine,na,na,na
170,170,unknown,na,na,na,na,na,na,na,na,na,na,na,na,na,unknown,na,na,na,na,na
171,171,Parking, Minimart, Club house, Swimming Pool, Sauna, Security, Playground, Gymnasium, Barbeque area,na,na,na,na,na,unknown,na,na,na,na,na
172,172,unknown,na,na,na,na,na,na,na,na,na,na,na,na,na,Air-Cond, Cooking Allowed, Near KTM/LRT,na,na,na
173,173,Jogging Track, Parking, Gymnasium, Swimming Pool, Multipurpose hall, Sauna, Security, Playground, Barbeque area, Minimart, Lift,na,na,na,Air-Cond, Cooking Allowed, Washing Machine,na,na,na
174,174,Lift, Multipurpose hall, Security, Parking, Swimming Pool,na,na,na,na,na,na,na,na,na,Cooking Allowed,na,na,na,na,na
175,175,Parking, Security, Lift, Swimming Pool, Playground, Minimart,na,na,na,na,na,na,na,na,Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine,na,na
176,176,Parking, Security, Lift, Swimming Pool, Playground, Multipurpose hall, Minimart, Gymnasium, Jogging Track, Tennis Court,na,na,na,na,Air-Cond, Near KTM/LRT, Cooking Allowed,na,na,na
177,177,Tennis Court, Barbeque area, Jogging Track, Multipurpose hall, Swimming Pool, Parking, Security, Playground, Lift,na,na,na,na,na,Air-Cond, Near KTM/LRT,na,na,na,na
178,178,Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house,na,na,na,Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet,na
179,179,Parking, Minimart, Multipurpose hall, Security, Lift,na,na,na,na,na,na,na,na,na,Cooking Allowed, Near KTM/LRT,na,na,na,na
180,180,Playground, Sauna, Security, Parking, Tennis Court, Barbeque area, Gymnasium, Minimart, Swimming Pool, Lift,na,na,na,na,Air-Cond,na,na,na,na,na
181,181,Playground, Sauna, Security, Parking, Tennis Court, Barbeque area, Gymnasium, Minimart, Swimming Pool, Lift,na,na,na,na,Air-Cond, Washing Machine,na,na,na,na
182,182,Parking, Security, Lift, Swimming Pool, Playground, Minimart, Multipurpose hall, Tennis Court,na,na,na,na,na,na,Air-Cond, Cooking Allowed, Near KTM/LRT,na,na,na
183,183,Playground, Security, Lift, Parking,na,na,na,na,na,na,na,na,na,na,Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine,na,na
184,184,Gymnasium, Jogging Track, Lift, Playground, Parking, Security, Swimming Pool, Barbeque area,na,na,na,na,na,na,Air-Cond, Cooking Allowed, Near KTM/LRT,na,na,na
185,185,Lift, Playground, Gymnasium, Parking, Security, Swimming Pool, Barbeque area, Jogging Track,na,na,na,na,na,na,Air-Cond, Cooking Allowed, Near KTM/LRT,na,na,na
186,186,unknown,na,na,na,na,na,na,na,na,na,na,na,na,na,unknown,na,na,na,na,na
187,187,Playground, Security, Minimart, Jogging Track, Parking, Swimming Pool, Gymnasium, Lift,na,na,na,na,na,na,unknown,na,na,na,na,na
188,188,Minimart, Playground, Security, Barbeque area, Parking, Jogging Track, Lift,na,na,na,na,na,na,na,Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine,na,na
189,189,Playground, Sauna, Security, Parking, Tennis Court, Barbeque area, Gymnasium, Minimart, Swimming Pool, Lift,na,na,na,na,Air-Cond, Cooking Allowed, Washing Machine,na,na,na
190,190,Jogging Track, Parking, Security, Lift, Minimart, Playground, Sauna, Swimming Pool, Gymnasium,na,na,na,na,na,Air-Cond, Cooking Allowed, Washing Machine,na,na,na
191,191,unknown,na,na,na,na,na,na,na,na,na,na,na,na,na,Air-Cond, Cooking Allowed, Washing Machine, Near KTM/LRT, Internet,na
192,192,Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Minimart, Multipurpose hall, Jogging Track,na,na,na,na,Cooking Allowed,na,na,na,na,na
193,193,Parking,na,na,na,na,na,na,na,na,na,na,na,na,na,Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet,na
194,194,Swimming Pool, Gymnasium, Minimart, Playground, Jogging Track, Security, 11, Lift, Parking,na,na,na,na,na,Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine,na,na
195,195,Parking, Security, Lift, Swimming Pool, Playground,na,na,na,na,na,na,na,na,na,Cooking Allowed, Near KTM/LRT,na,na,na,na
196,196,Parking, Security, Lift, Swimming Pool, Gymnasium, Club house, Minimart,na,na,na,na,na,na,na,Near KTM/LRT, Cooking Allowed, Washing Machine,na,na,na
197,197,Parking, Security, Lift, Swimming Pool, Playground, Gymnasium,na,na,na,na,na,na,na,na,Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet,na
198,198,Security, Parking,na,na,na,na,na,na,na,na,na,na,na,na,unknown,na,na,na,na,na
199,199,Parking, Security, Playground,na,na,na,na,na,na,na,na,na,na,na,Air-Cond, Cooking Allowed, Washing Machine, Near KTM/LRT,na,na
200,200,unknown,na,na,na,na,na,na,na,na,na,na,na,na,na,Cooking Allowed, Near KTM/LRT, Internet,na,na,na
201,201,Gymnasium, Security, Minimart, Playground, Sauna,na,na,na,na,na,na,na,na,na,Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet,na
202,202,Swimming Pool, Security, Gymnasium, Playground, Lift, Parking, Minimart,na,na,na,na,na,na,na,Air-Cond, Cooking Allowed, Washing Machine,na,na,na
203,203,unknown,na,na,na,na,na,na,na,na,na,na,na,na,na,Near KTM/LRT, Cooking Allowed,na,na,na,na
204,204,unknown,na,na,na,na,na,na,na,na,na,na,na,na,na,unknown,na,na,na,na,na
205,205,unknown,na,na,na,na,na,na,na,na,na,na,na,na,na,unknown,na,na,na,na,na
206,206,Security, Club house, Parking, Minimart, Swimming Pool, Barbeque area, Sauna, Playground, Gymnasium,na,na,na,na,na,unknown,na,na,na,na,na
207,207,unknown,na,na,na,na,na,na,na,na,na,na,na,na,na,unknown,na,na,na,na,na
208,208,Barbeque area, Security, Playground, Gymnasium, Swimming Pool, Jogging Track, Multipurpose hall,na,na,na,na,na,na,na,Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine,na,na
209,209,Gymnasium, Playground, Swimming Pool, Jogging Track, Parking, Security, Barbeque area, Lift,na,na,na,na,na,na,Air-Cond, Near KTM/LRT,na,na,na,na
210,210,Minimart, Parking, Security, Lift, Swimming Pool, Playground, Club house, Tennis Court,na,na,na,na,na,na,Air-Cond, Cooking Allowed,na,na,na,na
211,211,Playground, Barbeque area, Parking, Security, Swimming Pool, Gymnasium, Sauna, Minimart, Multipurpose hall, Jogging Track, Tennis Court,na,na,na,Cooking Allowed,na,na,na,na,na
212,212,unknown,na,na,na,na,na,na,na,na,na,na,na,na,na,Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine,na,na
213,213,Minimart, Playground, Swimming Pool, Gymnasium, Tennis Court, Sauna, Parking, Security, Lift, Barbeque area, Multipurpose hall, Club house,na,na,Air-Cond, Cooking Allowed, Washing Machine,na,na,na
214,214,Gymnasium, Playground, Multipurpose hall, Barbeque area, Security, Swimming Pool, Parking, Lift, Minimart, Tennis Court,na,na,na,na,Air-Cond, Cooking Allowed, Near KTM/LRT,na,na,na
215,215,Parking, Security, Lift,na,na,na,na,na,na,na,na,na,na,na,Cooking Allowed, Near KTM/LRT, Washing Machine, Air-Cond,na,na
216,216,unknown,na,na,na,na,na,na,na,na,na,na,na,na,na,unknown,na,na,na,na,na
217,217,unknown,na,na,na,na,na,na,na,na,na,na,na,na,na,Near KTM/LRT,na,na,na,na,na
218,218,Parking, Security, Lift, Playground, Minimart, Multipurpose hall,na,na,na,na,na,na,na,na,Air-Cond, Cooking Allowed,na,na,na,na
219,219,Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Minimart, Multipurpose hall, Squash Court,na,na,na,na,Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine,na,na
220,220,Parking, Playground, Gymnasium, Club house, Jogging Track, Squash Court, Multipurpose hall, Minimart, Barbeque area,na,na,na,na,na,Cooking Allowed, Near KTM/LRT,na,na,na,na
221,221,Tennis Court, Lift, Minimart, Squash Court, Jogging Track, Parking, Security, Playground, Swimming Pool, Gymnasium,na,na,na,na,Air-Cond, Cooking Allowed, Washing Machine, Internet,na,na
222,222,Parking, Jogging Track, Playground, Gymnasium, Security, Swimming Pool, Minimart, Lift,na,na,na,na,na,na,unknown,na,na,na,na,na
223,223,Playground, Gymnasium, Swimming Pool, Squash Court, Parking,na,na,na,na,na,na,na,na,na,Air-Cond, Cooking Allowed, Washing Machine,na,na,na
224,224,Security, Minimart, Parking,na,na,na,na,na,na,na,na,na,na,na,unknown,na,na,na,na,na
225,225,Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court,Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet,na
226,226,Playground, Jogging Track, Security, Minimart, Swimming Pool, Parking, Lift, Gymnasium, Barbeque area, Multipurpose hall,na,na,na,na,Air-Cond, Cooking Allowed, Washing Machine,na,na,na
227,227,Jogging Track, Multipurpose hall, Parking, Minimart, Sauna, Club house, Swimming Pool, Gymnasium, Security, Playground, Lift, Barbeque area,na,na,Cooking Allowed, Near KTM/LRT,na,na,na,na
228,228,Playground, Parking, Jogging Track,na,na,na,na,na,na,na,na,na,na,na,Cooking Allowed,na,na,na,na,na
229,229,Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court,Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet,na
230,230,Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Sauna, Minimart, Multipurpose hall, Jogging Track,na,na,na,Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine,na,na
231,231,Security, Jogging Track, Parking, Gymnasium, Barbeque area, Swimming Pool, Sauna, Minimart, Playground, Multipurpose hall, Lift,na,na,na,Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine,na,na
232,232,Parking, Squash Court, Gymnasium, Barbeque area, Sauna, Security, Playground, Swimming Pool, Tennis Court,na,na,na,na,na,unknown,na,na,na,na,na
233,233,Minimart, Sauna, Swimming Pool, Tennis Court, Jogging Track, Gymnasium, Barbeque area, Security, Playground, Parking, Lift,na,na,na,Air-Cond, Cooking Allowed,na,na,na,na
234,234,Jogging Track, Gymnasium, Parking, Sauna, Security, Playground, Swimming Pool,na,na,na,na,na,na,na,unknown,na,na,na,na,na
235,235,Minimart, Jogging Track, Barbeque area, Club house, Swimming Pool, Sauna, Parking, Security, Playground,na,na,na,na,na,unknown,na,na,na,na,na
236,236,Minimart, Jogging Track, Barbeque area, Club house, Swimming Pool, Sauna, Parking, Security, Playground,na,na,na,na,na,unknown,na,na,na,na,na
237,237,Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court,Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet,na
238,238,Parking, Security, Lift,na,na,na,na,na,na,na,na,na,na,na,Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet,na
239,239,Swimming Pool, Jogging Track, Parking, Security, Minimart,na,na,na,na,na,na,na,na,na,Cooking Allowed, Near KTM/LRT,na,na,na,na
240,240,Minimart, Gymnasium, Playground, Sauna, Security,na,na,na,na,na,na,na,na,na,Cooking Allowed,na,na,na,na,na
241,241,unknown,na,na,na,na,na,na,na,na,na,na,na,na,na,unknown,na,na,na,na,na
242,242,unknown,na,na,na,na,na,na,na,na,na,na,na,na,na,unknown,na,na,na,na,na
243,243,Security, Minimart, Swimming Pool, Parking, Gymnasium, Barbeque area, Playground, Lift, Multipurpose hall,na,na,na,na,na,Cooking Allowed, Near KTM/LRT,na,na,na,na
244,244,Security, Playground, Parking, Lift, Minimart,na,na,na,na,na,na,na,na,na,Cooking Allowed, Near KTM/LRT,na,na,na,na
245,245,Minimart, Tennis Court, Jogging Track, Gymnasium, Lift, Security, Playground, Swimming Pool, Parking, Squash Court,na,na,na,na,Air-Cond, Cooking Allowed, Near KTM/LRT, Internet,na,na
246,246,Minimart, Playground, Gymnasium, Jogging Track, Security, Swimming Pool, Parking,na,na,na,na,na,na,na,unknown,na,na,na,na,na
247,247,Parking, Security, Minimart, Swimming Pool, Playground, Gymnasium, Jogging Track,na,na,na,na,na,na,na,unknown,na,na,na,na,na
248,248,Parking, Gymnasium, Jogging Track, Lift, Barbeque area, Security, Swimming Pool, Playground,na,na,na,na,na,na,Air-Cond, Near KTM/LRT, Cooking Allowed,na,na,na
249,249,Parking, Jogging Track, Minimart, Security,na,na,na,na,na,na,na,na,na,na,unknown,na,na,na,na,na
250,250,Jogging Track, Lift, Playground, Minimart,na,na,na,na,na,na,na,na,na,na,Cooking Allowed,na,na,na,na,na
251,251,Parking, Security, Lift, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track,na,na,na,Cooking Allowed,na,na,na,na,na
252,252,unknown,na,na,na,na,na,na,na,na,na,na,na,na,na,unknown,na,na,na,na,na
253,253,Barbeque area, Swimming Pool, Security, Minimart, Playground, Parking, Lift, Gymnasium, Multipurpose hall, Jogging Track,na,na,na,na,Air-Cond,na,na,na,na,na
254,254,Swimming Pool, Gymnasium, Parking, Security, Barbeque area, Sauna, Minimart, Jogging Track, Lift,na,na,na,na,na,Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet,na
255,255,Playground, Gymnasium, Parking, Swimming Pool, Squash Court, Security, Lift, Minimart,na,na,na,na,na,na,Air-Cond, Cooking Allowed, Washing Machine, Near KTM/LRT,na,na
256,256,unknown,na,na,na,na,na,na,na,na,na,na,na,na,na,Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine,na,na
257,257,Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Minimart,na,na,na,na,na,na,Air-Cond, Cooking Allowed, Near KTM/LRT,na,na,na
258,258,Swimming Pool, Multipurpose hall, Security, Sauna, Gymnasium, Parking, Lift, Playground, Barbeque area,na,na,na,na,na,unknown,na,na,na,na,na
259,259,unknown,na,na,na,na,na,na,na,na,na,na,na,na,na,unknown,na,na,na,na,na
260,260,Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court,Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet,na
261,261,Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court,Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet,na
262,262,Gymnasium, Playground, Barbeque area, Sauna, Swimming Pool, Jogging Track, Parking, Security,na,na,na,na,na,na,Air-Cond, Cooking Allowed,na,na,na,na
263,263,Parking, Security, Playground, Lift, Minimart,na,na,na,na,na,na,na,na,na,Air-Cond, Cooking Allowed, Near KTM/LRT,na,na,na
264,264,Minimart, Playground, Parking, Lift, Security,na,na,na,na,na,na,na,na,na,Near KTM/LRT,na,na,na,na,na
265,265,Playground, Swimming Pool, Sauna, Parking, Minimart, Jogging Track, Lift, Security, Gymnasium, Squash Court,na,na,na,na,unknown,na,na,na,na,na
266,266,Playground, Gymnasium, Barbeque area, Sauna, Parking, Security, Swimming Pool,na,na,na,na,na,na,na,unknown,na,na,na,na,na
267,267,Security, Playground, Gymnasium, Parking, Swimming Pool, Multipurpose hall, Lift,na,na,na,na,na,na,na,Air-Cond, Cooking Allowed, Near KTM/LRT,na,na,na
268,268,Security, Minimart, Parking, Lift,na,na,na,na,na,na,na,na,na,na,Cooking Allowed,na,na,na,na,na
269,269,Barbeque area, Swimming Pool, Sauna, Minimart, Tennis Court, Parking, Security, Playground, Gymnasium, Lift, Squash Court, Club house, Multipurpose hall, Jogging Track,Cooking Allowed, Air-Cond, Washing Machine,na,na,na
270,270,Parking, Jogging Track, Barbeque area, Security, Swimming Pool, Lift, Multipurpose hall, Playground, Tennis Court,na,na,na,na,na,Air-Cond, Cooking Allowed, Near KTM/LRT,na,na,na
271,271,Security, Minimart, Playground, Jogging Track, Gymnasium, Club house, Multipurpose hall, Parking, Squash Court, Lift, Swimming Pool, Barbeque area,na,na,Cooking Allowed, Air-Cond,na,na,na,na
272,272,Security, Minimart, Swimming Pool, Parking, Gymnasium, Barbeque area, Playground,na,na,na,na,na,na,na,unknown,na,na,na,na,na
273,273,Parking, Security, Lift, Playground, Minimart, Multipurpose hall, Jogging Track,na,na,na,na,na,na,na,Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine,na,na
274,274,Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Multipurpose hall,na,na,na,na,na,Cooking Allowed, Near KTM/LRT, Washing Machine,na,na,na
275,275,Jogging Track, Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall,na,na,na,Cooking Allowed,na,na,na,na,na
276,276,Parking, Lift, Playground, Minimart,na,na,na,na,na,na,na,na,na,na,Cooking Allowed, Near KTM/LRT, Washing Machine,na,na,na
277,277,Parking, Security, Squash Court, Swimming Pool, Playground, Sauna, Minimart,na,na,na,na,na,na,na,Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine,na,na
278,278,Playground, Gymnasium, Minimart, Sauna, Swimming Pool, Parking, Security, Lift, Multipurpose hall, Barbeque area, Squash Court,na,na,na,Air-Cond, Cooking Allowed, Washing Machine,na,na,na
279,279,Lift, Security, Parking, Gymnasium, Swimming Pool, Playground, Multipurpose hall,na,na,na,na,na,na,na,Near KTM/LRT, Cooking Allowed,na,na,na,na
280,280,Parking, Minimart, Swimming Pool, Jogging Track, Security,na,na,na,na,na,na,na,na,na,Cooking Allowed, Near KTM/LRT,na,na,na,na
281,281,Minimart, Playground, Barbeque area, Multipurpose hall, Swimming Pool, Parking, Security, Tennis Court, Sauna, Gymnasium, Squash Court,na,na,na,Cooking Allowed, Near KTM/LRT, Air-Cond,na,na,na
282,282,Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track,na,na,Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine,na,na
283,283,Security, Parking, Gymnasium, Playground, Multipurpose hall,na,na,na,na,na,na,na,na,na,unknown,na,na,na,na,na
284,284,unknown,na,na,na,na,na,na,na,na,na,na,na,na,na,unknown,na,na,na,na,na
285,285,unknown,na,na,na,na,na,na,na,na,na,na,na,na,na,unknown,na,na,na,na,na
286,286,Swimming Pool, Gymnasium, Security, Parking,na,na,na,na,na,na,na,na,na,na,Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine,na,na
287,287,Swimming Pool, Gymnasium, Security, Playground, Parking,na,na,na,na,na,na,na,na,na,unknown,na,na,na,na,na
288,288,Playground, Gymnasium, Security, Swimming Pool, Multipurpose hall, Parking, Lift, Barbeque area, Minimart,na,na,na,na,na,Air-Cond, Cooking Allowed, Near KTM/LRT,na,na,na
